Prompts,Category
a photo of a bench,single_object
a photo of a cow,single_object
a photo of a bicycle,single_object
a photo of a clock,single_object
a photo of a carrot,single_object
a photo of a suitcase,single_object
a photo of a fork,single_object
a photo of a surfboard,single_object
a photo of a refrigerator,single_object
a photo of a cup,single_object
a photo of a microwave,single_object
a photo of a potted plant,single_object
a photo of a snowboard,single_object
a photo of a zebra,single_object
a photo of a parking meter,single_object
a photo of a spoon,single_object
a photo of a skateboard,single_object
a photo of a car,single_object
a photo of a motorcycle,single_object
a photo of a traffic light,single_object
a photo of a book,single_object
a photo of a couch,single_object
a photo of a backpack,single_object
a photo of a computer keyboard,single_object
a photo of a toaster,single_object
a photo of a bird,single_object
a photo of a bowl,single_object
a photo of a dog,single_object
a photo of a tie,single_object
a photo of a laptop,single_object
a photo of a computer mouse,single_object
a photo of a sandwich,single_object
a photo of a baseball bat,single_object
a photo of a train,single_object
a photo of a cell phone,single_object
a photo of a chair,single_object
a photo of a tv,single_object
a photo of a broccoli,single_object
a photo of a bed,single_object
a photo of a skis,single_object
a photo of a handbag,single_object
a photo of a pizza,single_object
a photo of a frisbee,single_object
a photo of a scissors,single_object
a photo of a bottle,single_object
a photo of an elephant,single_object
a photo of a toilet,single_object
a photo of an oven,single_object
a photo of an orange,single_object
a photo of a person,single_object
a photo of a teddy bear,single_object
a photo of a vase,single_object
a photo of a banana,single_object
a photo of a toothbrush,single_object
a photo of a tv remote,single_object
a photo of a dining table,single_object
a photo of a stop sign,single_object
a photo of a sheep,single_object
a photo of a fire hydrant,single_object
a photo of an airplane,single_object
a photo of a giraffe,single_object
a photo of a horse,single_object
a photo of a cat,single_object
a photo of a donut,single_object
a photo of a boat,single_object
a photo of a baseball glove,single_object
a photo of a hair drier,single_object
a photo of a sink,single_object
a photo of a cake,single_object
a photo of a wine glass,single_object
a photo of an apple,single_object
a photo of a bus,single_object
a photo of a tennis racket,single_object
a photo of a knife,single_object
a photo of a hot dog,single_object
a photo of a truck,single_object
a photo of an umbrella,single_object
a photo of a sports ball,single_object
a photo of a bear,single_object
a photo of a kite,single_object
a photo of a bench and a sports ball,two_object
a photo of a toothbrush and a snowboard,two_object
a photo of a toaster and an oven,two_object
a photo of a broccoli and a vase,two_object
a photo of a tennis racket and a wine glass,two_object
a photo of a fork and a knife,two_object
a photo of a hair drier and a cake,two_object
a photo of a horse and a giraffe,two_object
a photo of a horse and a computer keyboard,two_object
a photo of a toothbrush and a carrot,two_object
a photo of a cake and a zebra,two_object
a photo of a hair drier and a bear,two_object
a photo of a knife and a zebra,two_object
a photo of a couch and a wine glass,two_object
a photo of a frisbee and a vase,two_object
a photo of a book and a laptop,two_object
a photo of a dining table and a bear,two_object
a photo of a frisbee and a couch,two_object
a photo of a couch and a horse,two_object
a photo of a toilet and a computer mouse,two_object
a photo of a bottle and a refrigerator,two_object
a photo of a potted plant and a backpack,two_object
a photo of a skateboard and a cake,two_object
a photo of a broccoli and a parking meter,two_object
a photo of a zebra and a bed,two_object
a photo of an oven and a bed,two_object
a photo of a baseball bat and a fork,two_object
a photo of a vase and a spoon,two_object
a photo of a skateboard and a sink,two_object
a photo of a pizza and a bench,two_object
a photo of a bowl and a pizza,two_object
a photo of a tennis racket and a bird,two_object
a photo of a wine glass and a bear,two_object
a photo of a fork and a book,two_object
a photo of a scissors and a bowl,two_object
a photo of a laptop and a carrot,two_object
a photo of a stop sign and a bottle,two_object
a photo of a microwave and a truck,two_object
a photo of a person and a bear,two_object
a photo of a frisbee and a cell phone,two_object
a photo of a parking meter and a teddy bear,two_object
a photo of a tennis racket and a bicycle,two_object
a photo of a stop sign and a motorcycle,two_object
a photo of a fire hydrant and a tennis racket,two_object
a photo of a scissors and a sandwich,two_object
a photo of a pizza and a book,two_object
a photo of a giraffe and a computer mouse,two_object
a photo of a stop sign and a toaster,two_object
a photo of a computer mouse and a zebra,two_object
a photo of a chair and a bench,two_object
a photo of a tv and a carrot,two_object
a photo of a surfboard and a suitcase,two_object
a photo of a computer keyboard and a laptop,two_object
a photo of a computer keyboard and a microwave,two_object
a photo of a scissors and a bird,two_object
a photo of a person and a snowboard,two_object
a photo of a cow and a horse,two_object
a photo of a handbag and a refrigerator,two_object
a photo of a chair and a laptop,two_object
a photo of a toothbrush and a bench,two_object
a photo of a book and a baseball bat,two_object
a photo of a horse and a train,two_object
a photo of a bench and a vase,two_object
a photo of a traffic light and a backpack,two_object
a photo of a sports ball and a cow,two_object
a photo of a computer mouse and a spoon,two_object
a photo of a tv and a bicycle,two_object
a photo of a bench and a snowboard,two_object
a photo of a toothbrush and a toilet,two_object
a photo of a person and an apple,two_object
a photo of a sink and a sports ball,two_object
a photo of a stop sign and a dog,two_object
a photo of a knife and a stop sign,two_object
a photo of a wine glass and a handbag,two_object
a photo of a bowl and a skis,two_object
a photo of a frisbee and an apple,two_object
a photo of a computer keyboard and a cell phone,two_object
a photo of a stop sign and a fork,two_object
a photo of a potted plant and a boat,two_object
a photo of a tv and a cell phone,two_object
a photo of a tie and a broccoli,two_object
a photo of a potted plant and a donut,two_object
a photo of a person and a sink,two_object
a photo of a couch and a snowboard,two_object
a photo of a fork and a baseball glove,two_object
a photo of an apple and a toothbrush,two_object
a photo of a bus and a baseball glove,two_object
a photo of a person and a stop sign,two_object
a photo of a carrot and a couch,two_object
a photo of a baseball bat and a bear,two_object
a photo of a fire hydrant and a train,two_object
a photo of a baseball glove and a carrot,two_object
a photo of a microwave and a bench,two_object
a photo of a cake and a stop sign,two_object
a photo of a car and a computer mouse,two_object
a photo of a suitcase and a dining table,two_object
a photo of a person and a traffic light,two_object
a photo of a cell phone and a horse,two_object
a photo of a baseball bat and a giraffe,two_object
a photo of two clocks,counting
a photo of two backpacks,counting
a photo of four handbags,counting
a photo of two frisbees,counting
a photo of three sports balls,counting
a photo of two bears,counting
a photo of two ties,counting
a photo of four sinks,counting
a photo of two toothbrushs,counting
a photo of three persons,counting
a photo of three tennis rackets,counting
a photo of four bowls,counting
a photo of four vases,counting
a photo of three cups,counting
a photo of four computer keyboards,counting
a photo of three sinks,counting
a photo of two ovens,counting
a photo of two toilets,counting
a photo of two bicycles,counting
a photo of two trains,counting
a photo of three oranges,counting
a photo of three buses,counting
a photo of three handbags,counting
a photo of three snowboards,counting
a photo of two snowboards,counting
a photo of four dogs,counting
a photo of three apples,counting
a photo of two sheeps,counting
a photo of three hot dogs,counting
a photo of three zebras,counting
a photo of three kites,counting
a photo of four apples,counting
a photo of three cell phones,counting
a photo of four baseball gloves,counting
a photo of three computer keyboards,counting
a photo of two beds,counting
a photo of two tv remotes,counting
a photo of three fire hydrants,counting
a photo of three books,counting
a photo of four giraffes,counting
a photo of two vases,counting
a photo of four donuts,counting
a photo of four chairs,counting
a photo of three baseball bats,counting
a photo of four stop signs,counting
a photo of two pizzas,counting
a photo of three refrigerators,counting
a photo of two fire hydrants,counting
a photo of three giraffes,counting
a photo of four tvs,counting
a photo of three wine glasses,counting
a photo of four broccolis,counting
a photo of three trucks,counting
a photo of two trucks,counting
a photo of two carrots,counting
a photo of two sandwichs,counting
a photo of four traffic lights,counting
a photo of four clocks,counting
a photo of two cars,counting
a photo of two bananas,counting
a photo of two wine glasses,counting
a photo of three pizzas,counting
a photo of four knifes,counting
a photo of three suitcases,counting
a photo of four zebras,counting
a photo of two teddy bears,counting
a photo of four skateboards,counting
a photo of four hot dogs,counting
a photo of three birds,counting
a photo of four boats,counting
a photo of four microwaves,counting
a photo of two hair driers,counting
a photo of three laptops,counting
a photo of three cows,counting
a photo of two parking meters,counting
a photo of four benchs,counting
a photo of three benchs,counting
a photo of four frisbees,counting
a photo of four books,counting
a photo of four buses,counting
a photo of a blue fire hydrant,colors
a photo of a pink car,colors
a photo of a purple cup,colors
a photo of a blue cow,colors
a photo of a yellow boat,colors
a photo of a blue umbrella,colors
a photo of a blue elephant,colors
a photo of a yellow elephant,colors
a photo of a red bicycle,colors
a photo of a purple suitcase,colors
a photo of a purple hair drier,colors
a photo of a white sandwich,colors
a photo of a purple elephant,colors
a photo of a green microwave,colors
a photo of a red zebra,colors
a photo of a red apple,colors
a photo of a yellow tv remote,colors
a photo of a blue toilet,colors
a photo of an orange orange,colors
a photo of a black donut,colors
a photo of a red vase,colors
a photo of a purple pizza,colors
a photo of a pink skateboard,colors
a photo of a green skateboard,colors
a photo of a purple bear,colors
